# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Friday 30th of March 2018 03:12:12 AM BST
LZ0DAO	212.39.89.29
LZ0DAP	78.130.149.52
LZ0DAR	212.73.131.203
LZ0DAT	151.237.49.30
LZ0DAV	213.16.49.230
LZ0DBS	185.18.57.21
LZ0DRZ	158.58.209.194
LZ0DVB	62.176.87.194
LZ0SUN	151.237.49.30
MB6AE	95.144.180.124
MB6AF	213.121.3.124
MB6BA	80.6.17.181
MB6BH	81.96.81.172
MB6BM	81.131.139.25
MB6CA	109.155.175.243
MB6CE	94.5.16.226
MB6CY	86.143.114.249
MB6DE	212.56.120.125
MB6EG	5.69.94.237
MB6FG	81.148.229.225
MB6HN	82.7.11.114
MB6HU	86.182.200.85
MB6IBO	86.128.124.229
MB6IDD	94.175.78.230
MB6IOG	86.170.36.238
MB6JD	212.56.100.200
MB6LY	81.132.233.14
MB6NK	213.205.194.172
N4ARG	71.41.121.229
N7JN	192.231.186.217
N7RDS	72.250.209.84
NE1DV	198.0.181.254
NJ2MC	174.225.21.33
NR7SS	74.95.68.73
NU7TS	72.250.210.9
NW7DR	192.231.186.5
OE1XDS	80.109.80.41
OE5XKL	193.33.210.138
OE7XLI	91.113.107.232
OE9XDV	178.188.83.118
OE9XMV	178.188.83.118
OH0DST	79.133.3.134
OK0BAF	84.16.107.229
OK0BCA	151.249.105.57
OK0BRQ	88.102.142.95
OK0DHD	91.219.240.4
OK0DIT	88.146.217.109
OK0DJ	151.249.104.121
OK0DPL	85.207.84.124
OK0DRB	89.235.49.32
OK0DRO	85.13.109.61
OK0DV	37.221.252.37
OK0EB	92.62.226.10
OK0NCC	151.249.105.43
ON0CK	44.144.15.15
ON0CPS	109.132.25.85
ON0CVH	91.183.117.199
ON0DP	84.198.145.44
ON0DST	193.190.240.231
ON0LB	188.210.92.86
ON0LUS	80.200.16.13
ON0OS	141.134.208.239
ON0PLL	91.183.98.53
ON0TB	78.94.50.214
ON0THN	109.88.81.56
OZ0EVA	85.202.72.96
OZ0REA	87.58.212.152
OZ0REC	87.58.244.221
OZ0RED	80.251.196.244
OZ0REF	93.178.152.206
OZ1DHS	212.112.154.128
